LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH
-91.1342882,40.8051312,2729,REGINA DRIVE,,BURLINGTON,,,,0,f411c9641d18544f
-91.1333939,40.8062957,2700,MONARCH DRIVE,,BURLINGTON,,,,1,505d46cb92d6a397
-91.1339539,40.8057496,2717,MONARCH DRIVE,,BURLINGTON,,,,2,833d840fe04c2de9
-91.1342454,40.8055338,2722,REGINA DRIVE,,BURLINGTON,,,,3,2a7743c94fd75f96
-91.134297,40.8062577,2726,MONARCH DRIVE,,BURLINGTON,,,,4,e999f4d2501a0ecb
-91.1345506,40.8062286,2730,MONARCH DRIVE,,BURLINGTON,,,,5,609a5bbe26660ce8
-91.1021992,40.8100205,214,JEFFERSON STREET,,BURLINGTON,,,,6,d1cc29ae1b1a627a
-91.0995303,40.7866301,2212,S 3RD STREET,,BURLINGTON,,,,7,323d9bbe75316045
-91.1011336,40.7948025,315,LEWIS STREET,,BURLINGTON,,,,8,9a8a98077ce839b7
-91.1072161,40.7983203,922,S 8TH STREET,,BURLINGTON,,,,9,6cfa4f50d7b91dad
-91.1100338,40.8230571,1343,ASHMUN STREET,,BURLINGTON,,,,10,021e5cf9cc3f130d
-91.107635,40.7992046,818,S 8TH STREET,,BURLINGTON,,,,11,5a19c8c52ef80704
-91.1094814,40.7890142,1904,S CENTRAL AVENUE,,BURLINGTON,,,,12,f5f2a2682e5873de
-91.1127845,40.8027837,525,S CENTRAL AVENUE,,BURLINGTON,,,,13,8b22187327d97528
-91.102887,40.791094,514,BARRET STREET,,BURLINGTON,,,,14,e6b69c38030e28c8
-91.1325371,40.8325729,2806,HERBLO DRIVE,,BURLINGTON,,,,15,94155fc5b910682d
-91.1079382,40.7962946,1123,S 9TH STREET,,BURLINGTON,,,,16,0d53dec3fe3b55b5
-91.1114801,40.8217697,1317,GRISWOLD STREET,,BURLINGTON,,,,17,eac35f2242ef958b
-91.1315087,40.8127546,2318,WASHINGTON STREET,,BURLINGTON,,,,18,0bb1d1944cc002ad
-91.1202384,40.7913888,2016,BARRET STREET,,BURLINGTON,,,,19,251d67d1155186e1
-91.1358689,40.8099626,111,BELMONT COURT,,BURLINGTON,,,,20,714ed0c78df966c0
-91.1308015,40.7918665,1538,CAMBRIDGE DRIVE,,BURLINGTON,,,,21,aaeedb6931a0c737
-91.1067774,40.7879447,815,HEDGE AVENUE,,BURLINGTON,,,,22,b5b3ec0daa604b2d
-91.108514,40.7833624,919,PARK AVENUE,,BURLINGTON,,,,23,3518d6525ab7ef3c
-91.13957,40.8091045,3017,FLINT HILLS DRIVE,,BURLINGTON,,,,24,881ea88e58cf0647
-91.1385855,40.8098419,3003,FLINT HILLS DRIVE,,BURLINGTON,,,,25,2a6a9e5e2ea16e24
-91.1405514,40.8096845,3031,FLEMING COURT,,BURLINGTON,,,,26,b070e50caaaf4beb
